age,job,marital,education,default,housing,loan,contact,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
30,11,1,4,0,1,0,1,487,2,999,0,1,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0
39,10,0,5,0,0,0,0,346,4,999,0,1,1.1,93.994,-36.4,4.855,5191.0,0
25,10,1,5,0,1,0,0,227,1,999,0,1,1.4,94.465,-41.8,4.962,5228.1,0
38,10,1,4,0,0,0,0,17,3,999,0,1,1.4,94.465,-41.8,4.959,5228.1,0
47,9,1,6,0,1,0,1,58,1,999,0,1,-0.1,93.2,-42.0,4.191,5195.8,0
32,10,0,6,0,0,0,1,128,3,999,2,0,-1.1,94.199,-37.5,0.884,4963.6,0
32,9,0,6,0,1,0,1,290,4,999,0,1,-1.1,94.199,-37.5,0.879,4963.6,0
41,8,1,6,0,1,0,1,44,2,999,0,1,-0.1,93.2,-42.0,4.191,5195.8,0
31,10,0,7,0,0,0,1,68,1,999,1,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
35,11,1,4,0,0,0,0,170,1,999,0,1,1.1,93.994,-36.4,4.855,5191.0,0
25,10,0,3,0,1,0,1,301,1,999,0,1,1.4,93.91799999999999,-42.7,4.958,5228.1,0
36,7,0,2,0,0,0,1,148,1,999,0,1,1.4,93.91799999999999,-42.7,4.968,5228.1,0
36,9,1,5,0,0,0,0,97,2,999,0,1,1.1,93.994,-36.4,4.859,5191.0,0
47,11,1,2,0,1,0,0,211,2,999,0,1,1.4,94.465,-41.8,4.958,5228.1,0
29,9,0,5,0,0,0,1,553,2,999,0,1,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0
27,10,0,6,0,0,0,1,698,2,999,0,1,1.4,93.91799999999999,-42.7,4.963,5228.1,0
44,9,0,6,0,0,0,1,191,6,999,0,1,1.4,93.91799999999999,-42.7,4.957,5228.1,0
46,9,0,6,0,1,0,0,59,4,999,0,1,1.4,93.91799999999999,-42.7,4.962,5228.1,0
45,8,1,6,0,1,1,1,38,2,999,0,1,1.4,93.444,-36.1,4.965,5228.1,0
50,11,1,2,0,0,1,1,849,1,999,0,1,1.4,93.91799999999999,-42.7,4.961,5228.1,1
55,10,1,3,0,1,0,1,326,6,999,0,1,1.4,93.91799999999999,-42.7,4.962,5228.1,0
39,6,0,5,0,0,0,1,222,1,12,2,2,-1.8,93.369,-34.8,0.639,5008.7,1
29,6,0,6,0,1,1,1,626,3,999,0,1,1.4,93.444,-36.1,4.967,5228.1,0
40,5,1,5,0,0,1,1,119,1,999,0,1,1.4,93.444,-36.1,4.965,5228.1,0
44,6,1,7,0,1,0,0,388,7,999,0,1,1.1,93.994,-36.4,4.864,5191.0,0
38,6,1,7,0,1,0,1,479,1,999,0,1,1.4,93.444,-36.1,4.965,5228.1,1
36,6,0,7,0,0,0,0,446,1,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
28,11,1,3,0,0,0,1,68,2,999,1,0,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0
47,9,0,1,0,0,0,0,127,1,999,0,1,1.1,93.994,-36.4,4.86,5191.0,0
34,9,1,6,0,0,0,1,109,1,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
38,6,1,6,0,1,1,1,113,1,999,1,0,-1.8,92.84299999999999,-50.0,1.6869999999999998,5099.1,0
33,10,1,5,0,1,0,0,393,3,999,0,1,1.4,94.465,-41.8,4.865,5228.1,0
51,6,0,6,0,0,0,1,151,2,999,0,1,-2.9,92.963,-40.8,1.268,5076.2,0
30,11,0,2,0,1,0,0,256,1,999,0,1,1.4,94.465,-41.8,4.864,5228.1,0
48,6,1,6,0,0,0,1,42,7,999,0,1,1.4,93.444,-36.1,4.962,5228.1,0
28,11,0,4,0,1,0,0,525,1,999,0,1,1.4,94.465,-41.8,4.864,5228.1,0
36,11,1,3,0,1,0,0,57,1,999,0,1,1.1,93.994,-36.4,4.859,5191.0,0
46,5,0,5,0,0,0,1,499,1,999,0,1,-0.1,93.2,-42.0,4.12,5195.8,0
31,6,0,1,0,1,0,1,84,1,999,1,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,0
20,4,0,1,0,0,0,1,137,3,999,3,0,-1.1,94.601,-49.5,0.977,4963.6,0
35,10,1,5,0,1,0,1,31,1,999,0,1,-1.8,92.89299999999999,-46.2,1.344,5099.1,0
38,11,1,4,0,0,0,0,430,1,999,0,1,1.4,94.465,-41.8,4.967,5228.1,0
76,3,1,6,0,0,0,1,126,1,999,1,0,-1.7,94.027,-38.3,0.899,4991.6,0
45,8,0,7,0,1,0,1,211,3,999,0,1,1.4,93.91799999999999,-42.7,4.961,5228.1,0
32,2,1,2,0,1,1,1,340,1,999,0,1,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0
39,5,0,6,0,0,0,1,412,2,999,0,1,-1.8,92.89299999999999,-46.2,1.327,5099.1,0
32,9,1,6,0,0,0,0,132,1,999,0,1,-0.1,93.2,-42.0,4.592,5195.8,0
29,9,0,4,0,0,0,1,79,2,999,0,1,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0
44,10,1,7,0,0,0,1,341,2,999,0,1,1.4,93.444,-36.1,4.97,5228.1,0
32,10,1,5,0,0,1,1,157,3,999,0,1,1.4,93.91799999999999,-42.7,4.957,5228.1,0
56,3,1,6,0,1,0,1,252,1,999,2,0,-2.9,92.963,-40.8,1.26,5076.2,0
33,11,1,4,0,1,0,1,263,1,999,0,1,-1.8,92.89299999999999,-46.2,1.327,5099.1,0
39,5,1,5,0,0,0,1,215,3,999,0,1,1.4,93.444,-36.1,4.966,5228.1,0
24,6,1,6,0,1,1,1,89,2,3,1,2,-3.4,92.37899999999999,-29.8,0.77,5017.5,1
33,9,0,6,0,1,0,1,143,1,999,0,1,-1.8,92.89299999999999,-46.2,1.327,5099.1,0
58,8,0,6,0,0,0,0,40,2,999,0,1,1.4,94.465,-41.8,4.8660000000000005,5228.1,0
29,9,0,6,0,1,0,0,10,27,999,0,1,1.4,94.465,-41.8,4.959,5228.1,0
31,9,1,6,0,1,0,1,113,1,999,0,1,1.4,93.444,-36.1,4.9639999999999995,5228.1,0
27,9,1,6,0,0,0,0,191,5,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
60,9,0,7,0,1,0,1,481,1,999,1,0,-1.1,94.199,-37.5,0.8859999999999999,4963.6,1
55,8,1,7,0,1,1,1,233,1,999,2,0,-3.4,92.431,-26.9,0.7390000000000001,5017.5,0
37,11,1,4,0,1,0,1,204,2,999,0,1,-1.8,92.89299999999999,-46.2,1.334,5099.1,0
52,9,1,1,0,1,0,0,403,1,6,1,2,-1.8,93.749,-34.6,0.654,5008.7,1
46,10,1,5,0,1,0,1,180,1,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,0
42,11,0,3,0,1,0,1,16,2,999,0,1,-1.8,92.89299999999999,-46.2,1.281,5099.1,0
35,9,0,6,0,1,0,1,447,3,999,0,1,1.4,93.91799999999999,-42.7,4.96,5228.1,0
49,6,0,1,0,1,1,1,81,1,999,0,1,-3.4,92.431,-26.9,0.754,5017.5,0
29,10,0,5,0,0,1,0,361,3,999,0,1,1.4,94.465,-41.8,4.865,5228.1,0
32,11,1,4,0,0,0,1,1091,2,5,1,2,-0.1,93.2,-42.0,4.191,5195.8,1
37,7,1,6,0,0,0,1,395,1,999,1,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0
39,6,0,7,0,0,0,0,432,4,999,0,1,1.4,94.465,-41.8,4.865,5228.1,1
51,10,1,5,0,1,0,0,596,3,999,0,1,1.4,93.91799999999999,-42.7,4.962,5228.1,1
28,9,0,5,0,1,0,1,59,3,999,0,1,-1.8,92.89299999999999,-46.2,1.291,5099.1,0
34,5,1,6,0,1,0,1,77,4,999,0,1,-1.8,92.89299999999999,-46.2,1.281,5099.1,0
31,6,0,5,0,1,1,1,768,1,999,0,1,1.4,93.444,-36.1,4.966,5228.1,1
31,9,1,6,0,1,0,1,96,5,999,0,1,1.4,93.444,-36.1,4.962,5228.1,0
31,9,0,6,0,1,0,0,357,2,999,0,1,1.4,94.465,-41.8,4.864,5228.1,0
38,7,0,6,0,0,0,0,459,2,999,0,1,1.1,93.994,-36.4,4.855,5191.0,0
33,1,1,4,0,0,0,0,11,6,999,0,1,1.4,94.465,-41.8,4.959,5228.1,0
32,6,0,6,0,0,0,1,264,12,999,0,1,1.4,93.444,-36.1,4.966,5228.1,0
54,6,1,7,0,1,0,1,698,1,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,0
41,9,0,5,0,1,0,0,204,2,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
59,10,1,2,0,0,0,1,93,7,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
57,3,1,6,0,1,0,1,374,1,2,1,2,-1.8,93.075,-47.1,1.365,5099.1,0
38,8,0,6,0,1,0,1,252,1,999,0,1,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
46,9,1,6,0,1,0,0,158,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
37,1,0,6,0,1,1,1,95,1,999,0,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
47,10,0,4,0,0,0,0,835,3,999,0,1,1.4,94.465,-41.8,4.961,5228.1,1
